name,lat,long,img,distance,url,props,eparhia,mitropolia,boss,type,founded
Мужской монастырь Успения Пресвятой Богородицы Калужская Свято-Тихонова Пустынь,54.605864602897,36.038685687394,/upload/iblock/ca4/ca4e2a4e885bc7b86976ff762222341b/tichonova_min_e1478591655613.jpg,163,/monastyri/monastery/muzhskoy-monastyr-uspeniya-presvyatoy-bogoroditsy-kaluzhskaya-svyato-tikhonova-pustyn/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1450'}",,,,,
Каменск - Уральский Преображенский мужской монастырь ,56.42161215617,61.894336949738,/upload/iblock/d56/foto_monastyrya_2.jpg,1501,/monastyri/monastery/preobrazhenskiy-muzhskoy-monastyr-/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1860'}",,,,,
Карачевский Воскресенский мужской  монастырь,53.11191774252,34.9627545,/upload/iblock/bc6/bc6a970e2e137d624c9aa79ee56403a2/berezhok01.JPG,341,/monastyri/monastery/karachevskiy-voskresenskiy-muzhskoy-monastyr/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': ''}",,,,,
Карачевский Николо-Одрин  женский монастырь,53.166862960568,35.074372859138,/upload/iblock/a08/a088a27aa7fa5e85824b71f29d48a2ce/55007.jpg,332,/monastyri/monastery/karachevskiy-nikolo-odrin-zhenskiy-monastyr/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1602'}",,,,,
Карпогорское подворье Артемиево-Веркольского мужского монастыря,63.995802295076,44.444413880951,/upload/iblock/29e/29e5bce45980466c86b01d12bcf6c700/222222.jpg,991,/monastyri/monastery/karpogorskoe-podvore-artemievo-verkolskogo-muzhskogo-monastyrya/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'подворье епархиального монастыря', 'founded': '1994'}",,,,,
Касперовский женский монастырь Донецкой епархии,47.907432093034,38.105747697067,/upload/iblock/8bd/kjkybw7w2bx0r7j1ebk2n9eycgek0lk7/02.jpg,874,/monastyri/monastery/kasperovskiy-zhenskiy-monastyr-donetskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри УПЦ МП', 'founded': '1996'}",,,,,
"Катерлезский Свято-Георгиевский женский монастырь, г. Керчь   ",45.391879040332,36.442074940475,/upload/iblock/f24/f24b87183c2aaa0f1d08b5ac53bb0ab1/5235a1edb1230tz_portfolio_1379246574_L.jpg,1156,/monastyri/monastery/katerlezskiy-svyato-georgievskiy-zhenskiy-monastyr-g-kerch-/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1857'}",,,,,
Кемский мужской монастырь во имя Новомучеников и Исповедников Российских.,64.953246199596,34.615415669312,/upload/iblock/f85/f8526f119d2386b39467795b0aca210f/orp.jpg,1036,/monastyri/monastery/kemskiy-muzhskoy-monastyr-vo-imya-novomuchenikov-i-ispovednikov-rossiyskikh/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1991'}",,,,,
Киевский Свято-Введенский мужской монастырь Киевской епархии,50.433444214087,30.544768118999,/upload/iblock/e09/izzfmtzpurwodvnph2skvojdozadqy91/00.jpg,757,/monastyri/monastery/kievskiy-svyato-vvedenskiy-muzhskoy-monastyr-kievskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри УПЦ МП', 'founded': '1878'}",,,,,
Кирилло-Белозерский мужской  монастырь г. Кириллова,59.858315,38.371112,/upload/iblock/a69/a698035edab069c6e56389089bae3ea9/bRuuDxL5PU.jpg,459,/monastyri/monastery/kirillo-belozerskiy-muzhskoy-monastyr-g-kirillova/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1397'}",,,,,
Свято-Кирилловский мужской монастырь Киевской епархии,50.482983,30.472121,/upload/iblock/a30/9pq49j1wnptiivuayonyslq4hzi2ssds/00.jpg,755,/monastyri/monastery/svyato-kirillovskiy-muzhskoy-monastyr-kievskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри УПЦ МП', 'founded': '1140'}",,,,,
Кистоленский Свято-Никольский женский монастырь Кагульской и Комратской епархии,46.410952,28.844031,/upload/iblock/6d8/1.jpg,1205,/monastyri/monastery/kistolenskiy-svyato-nikolskiy-zhenskiy-monastyr-kagulskoy-i-komratskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри Православной Церкви Молдовы', 'founded': '1932'}",,,,,
Киштельницкий Архангельский мужской монастырь Кишиневской епархии,47.565184,28.663028,/upload/iblock/1c2/ue7p4koeytpnhr9fmxbhr7cn0osrw5xg/44.jpg,1099,/monastyri/monastery/kishtelnitskiy-arkhangelskiy-muzhskoy-monastyr-kishinevskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри Православной Церкви Молдовы', 'founded': '1991'}",,,,,
Климовский Покровский мужской монастырь,52.413114773138,32.13890672391,/upload/iblock/e2e/e2e8713fd4a5f7d71ea83a7b7c022f0f/Fotografiya_5.jpg,516,/monastyri/monastery/klimovskiy-pokrovskiy-muzhskoy-monastyr/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1765'}",,,,,
Клинцовский Свято- Успенский женский монастырь,52.759369132676,32.183149415344,/upload/iblock/547/54706f834152b7ee2e059d12c2adb263/article_photo_3833_15051521601.jpg,486,/monastyri/monastery/klintsovskiy-svyato-uspenskiy-zhenskiy-monastyr/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '2005'}",,,,,
